Source,Target,Type,Id,Label,Weight
syncope,tinnitus,Undirected,0,,3
syncope,weight loss,Undirected,1,,3
syncope,ulcers,Undirected,2,,1
syncope,vomiting,Undirected,3,,26
syncope,wasting,Undirected,4,,2
syncope,wheezing,Undirected,5,,1
syncope,throat,Undirected,6,,1
syncope,upper abdominal pain,Undirected,7,,1
syncope,visual impairment,Undirected,8,,3
syncope,weakness,Undirected,9,,6
syncope,tremors,Undirected,10,,4
syncope,trembling,Undirected,11,,1
syncope,tachycardia,Undirected,12,,21
syncope,vision impairment,Undirected,13,,1
syncope,urinary retention,Undirected,14,,2
syncope,systolic murmur,Undirected,15,,5
syncope,vertigo,Undirected,16,,11
syncope,urinary incontinence,Undirected,17,,2
syncope,throat pain,Undirected,18,,1
syncope,visual disturbances,Undirected,19,,1
syncope,toes,Undirected,20,,1
syncope,widespread,Undirected,21,,2
syncope,ventricular septal defect,Undirected,22,,1
syncope,unexplained fever,Undirected,23,,1
syncope,unstable gait,Undirected,24,,1
syncope,water retention,Undirected,25,,1
syncope,weak pulse,Undirected,26,,1
syncope,tachypnea,Undirected,27,,1
syncope,transient loss of consciousness,Undirected,28,,2
syncope,vascular bruits,Undirected,29,,1
syncope,tiredness,Undirected,30,,1
syncope,wrist drop,Undirected,31,,1
syncope,water intoxication,Undirected,32,,1
syncope,ventricular fibrillation,Undirected,33,,6
syncope,systolic thrill,Undirected,34,,2
syncope,third heart sound gallop,Undirected,35,,3
syncope,tricuspid stenosis,Undirected,36,,1
syncope,the teeth exhibit acid pain symptoms when subjected to external stimuli such as temperature changes,Undirected,37,,1
syncope,vision disorders,Undirected,38,,1
syncope,thyrotoxic crisis,Undirected,39,,1
syncope,visual spinning,Undirected,40,,1
syncope,widened pulse pressure,Undirected,41,,2
syncope,water-hammer pulse,Undirected,42,,1
syncope,valvular thickening,Undirected,43,,1
syncope,valve disease,Undirected,44,,1
syncope,weariness,Undirected,45,,1
syncope,unclear consciousness,Undirected,46,,1
syncope,while blood pressure normalizes when lying down,Undirected,47,,1
syncope,valvular heart disease,Undirected,48,,1
syncope,cardiac arrest,Undirected,49,,8
syncope,dizziness,Undirected,50,,55
syncope,fatigue,Undirected,51,,32
syncope,cerebral ischemia,Undirected,52,,8
syncope,hypertension,Undirected,53,,33
syncope,headache,Undirected,54,,32
syncope,fever,Undirected,55,,13
syncope,swelling,Undirected,56,,1
syncope,pain,Undirected,57,,1
syncope,loss of appetite,Undirected,58,,2
syncope,hematuria,Undirected,59,,2
syncope,polyuria,Undirected,60,,5
syncope,abdominal pain,Undirected,61,,7
syncope,edema,Undirected,62,,16
syncope,slow growth,Undirected,63,,1
syncope,anorexia,Undirected,64,,3
syncope,face,Undirected,65,,1
syncope,restlessness,Undirected,66,,7
syncope,heart failure,Undirected,67,,36
syncope,renal failure,Undirected,68,,1
syncope,increased blood pressure,Undirected,69,,1
syncope,palpitations,Undirected,70,,65
syncope,shortness of breath,Undirected,71,,22
syncope,cyanosis,Undirected,72,,24
syncope,nausea,Undirected,73,,21
syncope,diarrhea,Undirected,74,,9
syncope,liver function abnormalities,Undirected,75,,1
syncope,jaundice,Undirected,76,,2
syncope,proteinuria,Undirected,77,,1
syncope,oliguria,Undirected,78,,3
syncope,abdominal distension,Undirected,79,,3
syncope,dyspnea,Undirected,80,,27
syncope,shock,Undirected,81,,34
syncope,abnormal respiration,Undirected,82,,4
syncope,irritability,Undirected,83,,4
syncope,somnolence,Undirected,84,,3
syncope,coma,Undirected,85,,25
syncope,angina,Undirected,86,,20
syncope,arrhythmia,Undirected,87,,33
syncope,hemodynamic disorders,Undirected,88,,1
syncope,anemia,Undirected,89,,3
syncope,hepatomegaly,Undirected,90,,6
syncope,rash,Undirected,91,,1
syncope,ascites,Undirected,92,,1
syncope,blurred vision,Undirected,93,,6
syncope,chest pain,Undirected,94,,35
syncope,chest tightness,Undirected,95,,29
syncope,pericardial effusion,Undirected,96,,1
syncope,electrophysiological abnormalities,Undirected,97,,3
syncope,no evident cardiac impulse in the precordial region,Undirected,98,,1
syncope,pleural effusion,Undirected,99,,3
syncope,burning sensation,Undirected,100,,1
syncope,dry mouth,Undirected,101,,2
syncope,pharynx,Undirected,102,,1
syncope,difficulty breathing,Undirected,103,,12
syncope,nails,Undirected,104,,1
syncope,cough,Undirected,105,,8
syncope,signs of meningeal irritation,Undirected,106,,3
syncope,expectoration,Undirected,107,,2
syncope,hypokalemia,Undirected,108,,2
syncope,often,Undirected,109,,1
syncope,purulent sputum,Undirected,110,,1
syncope,hemoptysis,Undirected,111,,15
syncope,rapid breathing,Undirected,112,,5
syncope,sensory disturbances,Undirected,113,,8
syncope,maculopapular rash,Undirected,114,,1
syncope,eye pain,Undirected,115,,1
syncope,photophobia,Undirected,116,,1
syncope,bradycardia,Undirected,117,,9
syncope,pale complexion,Undirected,118,,2
syncope,constipation,Undirected,119,,2
syncope,seizures,Undirected,120,,12
syncope,epileptiform attacks,Undirected,121,,1
syncope,anxiety,Undirected,122,,4
syncope,fear,Undirected,123,,1
syncope,cold sweat,Undirected,124,,2
syncope,conjunctival congestion,Undirected,125,,1
syncope,abnormal breathing,Undirected,126,,21
syncope,cardiac murmur,Undirected,127,,4
syncope,difficulty swallowing,Undirected,128,,3
syncope,slurred speech,Undirected,129,,2
syncope,paralysis,Undirected,130,,2
syncope,coughing,Undirected,131,,5
syncope,muscle atrophy,Undirected,132,,2
syncope,hoarseness,Undirected,133,,3
syncope,absence of gag reflex,Undirected,134,,1
syncope,pigmentation,Undirected,135,,1
syncope,convulsions,Undirected,136,,11
syncope,hyperreflexia,Undirected,137,,1
syncope,hypothermia,Undirected,138,,1
syncope,pallor,Undirected,139,,10
syncope,fainting,Undirected,140,,1
syncope,lethargy,Undirected,141,,2
syncope,lower abdominal pain,Undirected,142,,1
syncope,sudden death,Undirected,143,,16
syncope,faint heart sounds,Undirected,144,,5
syncope,respiratory distress,Undirected,145,,2
syncope,phlegm,Undirected,146,,2
syncope,rales,Undirected,147,,2
syncope,joint pain,Undirected,148,,2
syncope,indigestion,Undirected,149,,1
syncope,fine,Undirected,150,,1
syncope,crying,Undirected,151,,1
syncope,darkness before the eyes,Undirected,152,,1
syncope,sore throat,Undirected,153,,2
syncope,mental disorders,Undirected,154,,2
syncope,glove or stocking type of superficial,Undirected,155,,1
syncope,hemiplegia,Undirected,156,,4
syncope,seizure-like episodes,Undirected,157,,1
syncope,cold,Undirected,158,,1
syncope,intermittent claudication,Undirected,159,,1
syncope,increased skin temperature,Undirected,160,,1
syncope,high fever,Undirected,161,,1
syncope,heaviness,Undirected,162,,1
syncope,back pain,Undirected,163,,2
syncope,jugular vein distension,Undirected,164,,5
syncope,abnormal heart sounds,Undirected,165,,7
syncope,ing,Undirected,166,,1
syncope,decreased vision,Undirected,167,,2
syncope,drowsiness,Undirected,168,,2
syncope,hallucinations,Undirected,169,,1
syncope,consciousness disorders,Undirected,170,,5
syncope,persistent fever,Undirected,171,,1
syncope,poor appetite,Undirected,172,,2
syncope,respiratory failure,Undirected,173,,6
syncope,microcephaly,Undirected,174,,1
syncope,aphasia,Undirected,175,,2
syncope,respiratory alkalosis,Undirected,176,,1
syncope,metabolic acidosis,Undirected,177,,1
syncope,sighing respiration,Undirected,178,,1
syncope,productive cough,Undirected,179,,1
syncope,increased pulmonary water content,Undirected,180,,1
syncope,general malaise,Undirected,181,,1
syncope,dehydration,Undirected,182,,3
syncope,accumulation of water,Undirected,183,,1
syncope,sodium,Undirected,184,,1
syncope,fluid imbalance,Undirected,185,,1
syncope,refusal to eat,Undirected,186,,1
syncope,abscess,Undirected,187,,1
syncope,nocturia,Undirected,188,,2
syncope,calcification,Undirected,189,,1
syncope,ataxia,Undirected,190,,3
syncope,hyponatremia,Undirected,191,,1
syncope,enuresis,Undirected,192,,1
syncope,hyperhidrosis,Undirected,193,,1
syncope,neck stiffness,Undirected,194,,1
syncope,skin erythema,Undirected,195,,1
syncope,epilepsy,Undirected,196,,2
syncope,insomnia,Undirected,197,,2
syncope,abnormal appetite,Undirected,198,,2
syncope,feeding difficulties,Undirected,199,,1
syncope,skin pigmentation,Undirected,200,,1
syncope,purpura,Undirected,201,,2
syncope,hemiparesis,Undirected,202,,2
syncope,diplopia,Undirected,203,,3
syncope,dysphagia,Undirected,204,,3
syncope,apnea,Undirected,205,,1
syncope,delusions,Undirected,206,,1
syncope,speech disorder,Undirected,207,,1
syncope,depression,Undirected,208,,1
syncope,desquamation,Undirected,209,,1
syncope,heart murmur,Undirected,210,,5
