Id,Label,d0,Degree,Weighted Degree,modularity_class,clustering,triangles
syncope,syncope,symptom,464,1251,79,0.119917,12881
cardiac arrest,cardiac arrest,symptom,116,168,79,0.332834,2220
dizziness,dizziness,symptom,1620,5142,79,0.032048,42027
fatigue,fatigue,symptom,2255,7611,79,0.022605,57449
tinnitus,tinnitus,symptom,551,1139,79,0.083669,12678
cerebral ischemia,cerebral ischemia,symptom,76,89,79,0.377193,1075
hypotension,hypotension,symptom,473,1079,79,0.137788,15381
headache,headache,symptom,2203,7385,79,0.022513,54606
fever,fever,symptom,2372,7846,0,0.020104,56532
localized scalp redness,localized scalp redness,symptom,5,5,207,1,10
swelling,swelling,symptom,1229,2027,207,0.024048,18147
warmth,warmth,symptom,52,64,207,0.38914,516
and pain,and pain,symptom,105,117,100,0.150366,821
low-grade fever,low-grade fever,symptom,505,1017,51,0.121012,15400
night sweats,night sweats,symptom,387,909,51,0.142413,10637
loss of appetite,loss of appetite,symptom,1064,2817,51,0.052227,29535
weight,weight,symptom,15,15,207,0.409524,43
joint dysfunction,joint dysfunction,symptom,25,25,207,0.35,105
local swelling in limbs,local swelling in limbs,symptom,9,9,207,1,36
joints due to tuberculosis,joints due to tuberculosis,symptom,9,9,207,1,36
local pain,local pain,symptom,61,77,207,0.162295,297
deformity,deformity,symptom,109,169,207,0.127761,752
hematuria,hematuria,symptom,760,1873,80,0.064323,18552
pyuria,pyuria,symptom,134,208,80,0.255078,2273
acute abdominal pain,acute abdominal pain,symptom,70,82,51,0.255487,617
edema,edema,symptom,1177,2661,80,0.046584,32240
azotemia,azotemia,symptom,71,99,80,0.420523,1045
hypertension,hypertension,symptom,571,1146,80,0.087971,14316
slow growth,slow growth,symptom,300,396,31,0.135831,6092
blisters,blisters,symptom,198,272,100,0.181357,3537
pain,pain,symptom,1932,3460,207,0.019897,37115
anorexia,anorexia,symptom,704,1756,51,0.087054,21542
mucosal damage,mucosal damage,symptom,116,133,100,0.237181,1582
hypersensitivity,hypersensitivity,symptom,159,185,31,0.214235,2691
and ulcers,and ulcers,symptom,17,18,100,0.522059,71
protrusion of bone surfaces,protrusion of bone surfaces,symptom,3,3,207,1,3
bone pain,bone pain,symptom,223,320,51,0.173918,4305
pain in the long bones,pain in the long bones,symptom,5,8,207,0.7,7
restlessness,restlessness,symptom,822,1860,79,0.069644,23500
vomiting,vomiting,symptom,2768,10286,51,0.01652,63264
heart failure,heart failure,symptom,557,1396,79,0.100603,15578
renal failure,renal failure,symptom,210,312,80,0.222784,4889
urea clearance disorder,urea clearance disorder,symptom,11,11,80,1,55
nephrotic syndrome,nephrotic syndrome,symptom,138,221,80,0.244578,2312
increased diastolic pressure,increased diastolic pressure,symptom,28,34,80,0.600529,227
outpatient hypertension,outpatient hypertension,symptom,11,11,80,1,55
palpitations,palpitations,symptom,1174,3662,79,0.044283,30491
shortness of breath,shortness of breath,symptom,938,2542,79,0.054047,23751
cyanosis,cyanosis,symptom,1052,2971,79,0.051503,28472
