model_id,clustering,path_length,diameter,modularity,num_communities,avg_community_size,max_community_size,community_size_variation
0,0.2557777687629577,2.609746909260555,5.0,0.12728596734047692,16,535.9375,892,177.42902410189265
1,0.2518870245032578,2.625744110100303,5.0,0.12427130773648609,20,428.75,739,204.78082796004122
2,0.2543268442867788,2.6153184044786566,5.0,0.12612888873307282,20,428.75,935,292.87793959258863
3,0.25494997647271445,2.6355994868206203,5.0,0.12185056937846439,318,26.965408805031448,785,101.03250954934836
4,0.25296761172244175,2.6668964310706786,5.0,0.12097199896018047,348,24.64080459770115,755,90.9842745755676
5,0.2537356147802232,2.63303825519011,5.0,0.1287629118406766,20,428.75,859,302.2761775264468
6,0.25557829327825193,2.5663820853743875,5.0,0.12173256791254837,340,25.220588235294116,817,103.19627865899886
7,0.25426326608509503,2.585027991602519,5.0,0.11213262730497688,513,16.71539961013645,748,66.04175606787285
8,0.2515757248533742,2.681013529274551,6.0,0.12221468719944463,22,389.77272727272725,948,250.83350722562454
9,0.25322523533068364,2.635878236529041,5.0,0.11863166901871275,338,25.369822485207102,845,102.90592550246454
10,0.2539183413363095,2.6339779884216554,5.0,0.1281126875642282,18,476.3888888888889,825,242.06017132772973
11,0.25727965601205355,2.639529974341031,5.0,0.11678130021500152,435,19.71264367816092,551,73.38760395904778
12,0.2543511732117085,2.6553918824352696,5.0,0.1253311528842309,21,408.3333333333333,821,293.7736954306565
13,0.2551668040610932,2.6393000466635557,0.0,0.12324340371245109,21,408.3333333333333,966,310.0585710157316
14,0.2530968018249408,2.6003720550501517,5.0,0.11803372881960991,436,19.66743119266055,760,77.98386650253777
15,0.25731939097730855,2.617439934686261,5.0,0.1278997558967695,20,428.75,1083,304.499404761323
16,0.2521483968784765,2.628871005365057,5.0,0.12528161216652783,19,451.3157894736842,922,180.53518468317264
17,0.25464847510029714,2.6710788430137624,6.0,0.12174773484706325,21,408.3333333333333,868,261.9220773496854
18,0.2536709942885945,2.644226551563229,0.0,0.1215855050626144,389,22.043701799485863,804,89.1651691865457
19,0.2532600561864701,2.6393595426971537,0.0,0.12295959178878398,360,23.819444444444443,743,90.10560569392524
20,0.25335078851009946,2.64363774201073,5.0,0.12313013596591237,19,451.3157894736842,1009,239.98707259735974
21,0.2555478867521195,2.648440634476324,5.0,0.1269970425890348,321,26.713395638629283,688,98.9921113380315
22,0.25269687071827873,2.6331082341964076,5.0,0.12513690051747134,14,612.5,905,206.11465256017098
23,0.24960279288660273,2.69037788663401,5.0,0.11967745722138991,23,372.82608695652175,770,227.9018957843032
24,0.2542066666689406,2.6906029857709353,5.0,0.1194780689074599,390,21.987179487179485,629,81.37051907230278
25,0.2557264365754782,2.6259412176347094,5.0,0.11984680336828082,364,23.557692307692307,866,94.54915850971037
26,0.2548787982135329,2.6026137158852345,5.0,0.12515021192901568,23,372.82608695652175,816,231.36488256580358
27,0.25294111905867933,2.6656982703168848,6.0,0.11422328292789559,438,19.577625570776256,757,80.77771038361206
28,0.25604162311163076,2.604250058315839,5.0,0.125485197162103,52,164.90384615384616,974,273.63354633069895
29,0.25181182544995057,2.6076836948915325,5.0,0.12139702716436158,17,504.4117647058824,917,205.28489782094638
30,0.2557045280957043,2.635073477956613,5.0,0.12386269648049575,410,20.914634146341463,738,78.74518974383757
31,0.25728775582431307,2.624674597620714,5.0,0.12987297970628814,15,571.6666666666666,842,143.89749438016247
32,0.25541478007220314,2.6208385817588056,5.0,0.12338029608314512,45,190.55555555555554,886,248.9747470956804
33,0.25232789725318194,2.6163540937718683,5.0,0.12055558253484486,296,28.969594594594593,874,105.8508117388884
34,0.25634359017343383,2.65529974341031,5.0,0.12399141733626434,19,451.3157894736842,825,231.860223917133
35,0.2567022267237437,2.5874212736179145,5.0,0.1263603490178527,16,535.9375,793,222.34530261228818
36,0.25769856009074493,2.7090972708187544,5.0,0.12578743538102655,17,504.4117647058824,983,206.21150159727625
37,0.25578447404490806,2.671931420573828,5.0,0.12402363805640886,296,28.969594594594593,861,115.61782813917338
38,0.2540324549588637,2.6398670398880335,5.0,0.12129717659988845,355,24.154929577464788,734,87.22479423432533
39,0.2560127832610762,2.604785397714019,5.0,0.12292774659011267,21,408.3333333333333,871,281.61377356286647
40,0.2591466340682964,2.693634243060415,5.0,0.12296168473413478,317,27.050473186119874,926,107.74120752739239
41,0.2533264480977941,2.6272171681828786,6.0,0.1208898461706136,379,22.62532981530343,783,87.39361111324814
42,0.25644949145835083,2.6521635176113834,5.0,0.12157932968802695,364,23.557692307692307,660,86.06766103475358
43,0.2514448487708943,2.617368789363191,5.0,0.12245143387787796,351,24.43019943019943,695,89.68244133929235
44,0.2564042958991941,2.692058549101936,5.0,0.1245446885063343,19,451.3157894736842,893,281.79295359902267
45,0.256399783550181,2.6237158852344296,5.0,0.11742901158163954,365,23.493150684931507,679,85.8785895603072
46,0.25432990676672473,2.6855773268019596,5.0,0.12604528973695903,15,571.6666666666666,887,201.90118595216046
47,0.25459308901050787,2.617250991369256,5.0,0.12160298126977769,374,22.927807486631018,809,86.63663516634806
48,0.25270684084123407,2.6535187777000235,5.0,0.12571528197378296,248,34.57661290322581,904,131.8269354292081
49,0.2560756879147519,2.6365267086540705,5.0,0.11582213302170452,404,21.225247524752476,651,79.42641688503994
50,0.25496340727751365,2.6069267553067412,5.0,0.11715884880634185,415,20.662650602409638,644,78.85464393479144
51,0.255064349740681,2.590194774900863,5.0,0.12211941281266925,45,190.55555555555554,1034,285.644421969814
52,0.2538907635878938,2.6393270352227667,5.0,0.11978339477976815,50,171.5,687,206.33257135023544
